,,,"Oakville, Town [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Persian (Farsi)",,    1330,,     655,,     670,,  122070,,   61025,,   61040,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,      40,,      25,,      15,,    2565,,    1350,,    1215,
"Mother tongue","          Italic (Romance) languages",,   12065,,    5780,,    6290,,  614525,,  295030,,  319490,
"Mother tongue","            Catalan",,      10,,       5,,       5,,     285,,     150,,     135,
"Mother tongue","            Italian",,    3370,,    1705,,    1665,,  231040,,  112440,,  118600,
"Mother tongue","            Portuguese",,    3360,,    1605,,    1760,,  150000,,   72280,,   77715,
"Mother tongue","            Romanian",,    1065,,     505,,     560,,   41755,,   19565,,   22190,
"Mother tongue","            Spanish",,    4250,,    1960,,    2295,,  191025,,   90390,,  100630,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,      10,,       5,,       5,,     420,,     200,,     215,
"Mother tongue","        Japanese",,     205,,      60,,     150,,   13260,,    4590,,    8670,
"Mother tongue","        Kartvelian languages",,       5,,       0,,       0,,    1200,,     635,,     565,
"Mother tongue","          Georgian",,       0,,       0,,       0,,    1200,,     635,,     565,
"Mother tongue","        Korean",,    2250,,    1050,,    1205,,   69775,,   32035,,   37740,
"Mother tongue","        Mongolic languages",,       0,,       5,,       0,,     405,,     180,,     220,
"Mother tongue","          Mongolian",,       0,,       5,,       0,,     405,,     180,,     225,
"Mother tongue","        Niger-Congo languages",,     310,,     140,,     170,,   35760,,   16705,,   19050,
"Mother tongue","          Akan (Twi)",,      90,,      35,,      50,,    9695,,    4510,,    5190,
"Mother tongue","          Bamanankan",,       0,,       0,,       0,,     140,,      60,,      80,
"Mother tongue","          Edo",,       5,,       5,,       0,,    1140,,     475,,     670,
"Mother tongue","          Ewe",,       5,,       0,,       0,,     560,,     270,,     295,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,     365,,     180,,     185,
"Mother tongue","          Ga",,       5,,       0,,       0,,     600,,     275,,     325,
"Mother tongue","          Ganda",,       5,,       5,,       0,,     760,,     360,,     400,
"Mother tongue","          Igbo",,      35,,      15,,      20,,    2090,,    1080,,    1010,
"Mother tongue","          Lingala",,       0,,       0,,       0,,     850,,     365,,     485,
"Mother tongue","          Rundi (Kirundi)",,       0,,       0,,       0,,    1430,,     640,,     785,
"Mother tongue","          Kinyarwanda (Rwanda)",,       0,,       0,,       0,,    1330,,     545,,     785,
"Mother tongue","          Shona",,      15,,       5,,      10,,    1455,,     660,,     790,
"Mother tongue","          Swahili",,      20,,      10,,      10,,    5525,,    2540,,    2985,
"Mother tongue","          Wolof",,       5,,       0,,       5,,     290,,     145,,     150,
"Mother tongue","          Yoruba",,      80,,      40,,      45,,    4365,,    2260,,    2105,
"Mother tongue","          Niger-Congo languages; n.i.e.",,      45,,      20,,      30,,    5155,,    2345,,    2810,
"Mother tongue","        Nilo-Saharan languages",,       5,,       0,,       5,,    1610,,     810,,     800,
"Mother tongue","          Dinka",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,       5,,       5,,       5,,    1260,,     635,,     625,
"Mother tongue","        Sign languages",,      45,,      20,,      20,,    3030,,    1570,,    1455,
"Mother tongue","          American Sign Language",,      25,,      10,,      15,,    1305,,     640,,     670,
"Mother tongue","          Quebec Sign Language",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Sign languages; n.i.e",,      20,,       5,,      10,,    1700,,     925,,     780,
"Mother tongue","        Sino-Tibetan languages",,   10060,,    4720,,    5340,,  611795,,  284865,,  326935,
"Mother tongue","          Chinese languages",,   10020,,    4710,,    5310,,  602610,,  280340,,  322270,
"Mother tongue","            Cantonese",,    1935,,     905,,    1030,,  275315,,  128090,,  147220,
"Mother tongue","            Hakka",,      55,,      25,,      35,,    6985,,    3140,,    3840,
"Mother tongue","            Mandarin",,    7515,,    3535,,    3975,,  283735,,  132275,,  151460,
"Mother tongue","            Min Dong",,       5,,       5,,       0,,     855,,     405,,     450,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,     190,,      85,,     105,,   13545,,    6240,,    7300,
"Mother tongue","            Wu (Shanghainese)",,     135,,      65,,      75,,    6300,,    2825,,    3470,
"Mother tongue","            Chinese; n.o.s.",,     175,,      85,,      90,,   15645,,    7235,,    8410,
"Mother tongue","            Chinese languages; n.i.e.",,       5,,       5,,       5,,     240,,     120,,     120,
"Mother tongue","          Tibeto-Burman languages",,      45,,      15,,      25,,    9185,,    4520,,    4660,
"Mother tongue","            Burmese",,      15,,       5,,      10,,    1640,,     775,,     865,
"Mother tongue","            Karenic languages",,       0,,       0,,       0,,    1730,,     865,,     860,
"Mother tongue","            Tibetan",,      20,,       5,,      10,,    5115,,    2530,,    2585,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,      10,,       5,,       5,,     700,,     345,,     350,
"Mother tongue","        Tai-Kadai languages",,      80,,      30,,      50,,    8485,,    3535,,    4945,
"Mother tongue","          Lao",,      20,,      10,,      10,,    5190,,    2480,,    2710,
"Mother tongue","          Thai",,      65,,      25,,      40,,    3270,,    1045,,    2220,
"Mother tongue","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      25,,      10,,      15,
"Mother tongue","        Turkic languages",,     555,,     280,,     275,,   22615,,   11745,,   10870,
"Mother tongue","          Azerbaijani",,      20,,      10,,      15,,    1990,,    1070,,     920,
"Mother tongue","          Turkish",,     505,,     255,,     245,,   18415,,    9610,,    8810,
"Mother tongue","          Uyghur",,      15,,       5,,       5,,     515,,     255,,     260,
"Mother tongue","          Uzbek",,       5,,       0,,       0,,    1055,,     515,,     545,
"Mother tongue","          Turkic languages; n.i.e.",,      10,,       5,,       5,,     640,,     295,,     345,
"Mother tongue","        Uralic languages",,     775,,     360,,     415,,   50670,,   23095,,   27570,
"Mother tongue","          Estonian",,      65,,      30,,      30,,    4205,,    1810,,    2400,
"Mother tongue","          Finnish",,     105,,      40,,      60,,    9720,,    4140,,    5580,
"Mother tongue","          Hungarian",,     610,,     285,,     320,,   36740,,   17150,,   19590,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Other languages; n.i.e.",,      20,,      10,,      10,,    1475,,     780,,     690,
"Mother tongue","  Multiple responses",,    5990,,    2880,,    3110,,  365910,,  176250,,  189660,
"Mother tongue","    English and French",,     610,,     275,,     330,,   54045,,   25165,,   28880,
"Mother tongue","    English and non-official language",,    4935,,    2390,,    2545,,  288285,,  140345,,  147940,
"Mother tongue","    French and non-official language",,     205,,     100,,     105,,   12565,,    5735,,    6830,
"Mother tongue","    English; French and non-official language",,     240,,     110,,     125,,   11010,,    5000,,    6005,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19,  192725,,   93250,,   99475,,13312865,, 6503875,, 6808990,
"Language spoken most often at home","  Single responses",,  180020,,   87210,,   92810,,12522045,, 6123955,, 6398085,
"Language spoken most often at home","    Official languages",,  151370,,   73625,,   77740,,10605725,, 5214425,, 5391300,
"Language spoken most often at home","      English",,  149950,,   72960,,   76985,,10328680,, 5084885,, 5243800,
"Language spoken most often at home","      French",,    1415,,     665,,     755,,  277045,,  129540,,  147500,
"Language spoken most often at home","    Non-official languages",,   28645,,   13580,,   15070,, 1916315,,  909530,, 1006780,
"Language spoken most often at home","      Aboriginal languages",,       0,,       0,,       0,,    9210,,    4600,,    4610,
"Language spoken most often at home","        Algonquian languages",,       0,,       0,,       0,,    8685,,    4370,,    4320,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Cree-Montagnais languages",,       0,,       0,,       0,,    2370,,    1205,,    1165,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","            Moose Cree",,       0,,       0,,       0,,      10,,      10,,       5,
"Language spoken most often at home","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Language spoken most often at home","            Northern East Cree",,       0,,       0,,       0,,      20,,      10,,      15,
"Language spoken most often at home","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Swampy Cree",,       0,,       0,,       0,,     105,,      50,,      55,
"Language spoken most often at home","            Woods Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","            Cree; n.o.s.",,       0,,       0,,       0,,    2220,,    1135,,    1085,
"Language spoken most often at home","          Eastern Algonquian languages",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Mi'kmaq",,       0,,       0,,       0,,       5,,       5,,       0,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,    6305,,    3155,,    3145,
"Language spoken most often at home","            Algonquin",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","            Ojibway",,       0,,       0,,       0,,    3315,,    1695,,    1620,
"Language spoken most often at home","            Oji-Cree",,       0,,       0,,       0,,    2905,,    1420,,    1490,
"Language spoken most often at home","            Ottawa (Odawa)",,       0,,       0,,       0,,      75,,      40,,      35,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","        Athabaskan languages",,       0,,       0,,       0,,      20,,      10,,      10,
"Language spoken most often at home","          Northern Athabaskan languages",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Carrier",,       0,,       0,,       0,,       0,,       5,,       0,
"Language spoken most often at home","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Dene",,       0,,       0,,       0,,       5,,       0,,       5,
